"CASE_STATUS","VISA_CLASS","AGENT_REPRESENTING_EMPLOYER","TOTAL_WORKERS","NEW_EMPLOYMENT","CONTINUED_EMPLOYMENT","CHANGE_PREVIOUS_EMPLOYMENT","NEW_CONCURRENT_EMP","CHANGE_EMPLOYER","AMENDED_PETITION","FULL_TIME_POSITION","PREVAILING_WAGE","PW_WAGE_LEVEL","H1B_DEPENDENT","WILLFUL_VIOLATOR","WORKSITE_STATE"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,1,0,0,0,0,"Y",169749,"Level IV","N","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",78395,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",49640,"Level I","N","N","WI"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,1,0,"Y",49026,"Level I","N","N","IL"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",69680,"Level I","N","N","CT"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",39520,"Level I","N","N","MO"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",42050,"Level I","N","N","TX"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",96866,"Level II","N","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",78395,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",78395,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",78395,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",63856,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",63856,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",52790,"Level I","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",60757,"Level I","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",78395,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",78395,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",49982,"Level I","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",76149,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",60757,"Level I","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",78395,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",78395,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",49982,"Level I","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",76149,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",30742,"Level III","N","N","MO"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",174387,"Level II","N","N","MA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,0,1,"Y",79830,"Level II","N","N","TX"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,0,1,"Y",79830,"Level II","N","N","TX"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,0,1,"Y",133078,"Level III","Y","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",71323,"Level III","N","N","TN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",66543,"Level II","N","N","WI"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",39645,"Level III","N","N","TX"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",40180,"Level I","N","N","SC"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",56480,"Level I","N","N","NE"
"CERTIFIED-WITHDRAWN","H-1B","N",1,0,1,0,0,0,0,"Y",40248,"Level I","N","N","CO"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,1,0,0,0,0,"Y",102294,"Level III","N","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,1,0,"Y",97365,"Level IV","N","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,1,0,0,0,0,"Y",124675,"Level II","N","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,1,0,0,0,0,"Y",90813,"Level II","N","N","NY"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",41392,"Level I","N","N","MA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,1,0,"Y",106059,"Level III","N","N","CT"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,0,1,"Y",75421,"Level II","Y","N","MD"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",73757,"Level II","N","N","IL"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",90813,"Level II","N","N","NY"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",41496,"Level I","N","N","NE"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",38590,"Level I","N","N","FL"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,1,0,"Y",124093,"Level III","N","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,1,0,0,0,0,"Y",74963,"Level II","Y","N","PA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,0,1,"Y",102149,"Level I","Y","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,0,1,"Y",95306,"Level II","Y","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,0,1,"Y",94619,"Level II","Y","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,1,0,0,0,0,"Y",92997,"Level III","N","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,1,0,0,0,0,"Y",72530,"Level I","N","N","IN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,0,1,0,0,0,0,"Y",41579,"Level I","N","N","CT"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",43992,"Level II","N","N","FL"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",93330,"Level IV","N","N","UT"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,1,0,"Y",63794,"Level III","N","N","IL"
"CERTIFIED-WITHDRAWN","H-1B","N",1,0,1,0,0,0,0,"Y",54413,"Level II","N","N","PA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,1,0,"Y",115502,"Level IV","N","N","NY"
"CERTIFIED-WITHDRAWN","H-1B","N",1,0,0,0,0,1,0,"Y",60445,"Level II","Y","N","TN"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,0,1,"Y",83366,"Level II","Y","N","IL"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,1,0,"Y",114026,"Level III","N","N","NY"
"CERTIFIED-WITHDRAWN","H-1B","N",1,0,0,1,0,0,0,"Y",118810,"Level IV","N","N","TX"
"CERTIFIED-WITHDRAWN","H-1B","N",1,0,0,0,0,0,1,"Y",50731,"Level II","N","N","NY"
"CERTIFIED","H-1B","N",1,0,1,0,0,0,0,"Y",75130,"Level I","Y","N","NY"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,1,0,"Y",78624,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",78624,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,0,1,"Y",87235,"Level II","Y","N","PA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",110864,"Level II","Y","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",83366,"Level II","Y","N","IL"
"CERTIFIED-WITHDRAWN","H-1B","N",1,0,1,0,0,0,0,"Y",62462,"Level II","N","N","NC"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",83470,"Level II","Y","N","MO"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",92019,"Level II","Y","N","VA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",92019,"Level II","Y","N","VA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",71240,"Level II","Y","N","IN"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",90002,"Level II","Y","N","TX"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",87984,"Level II","N","N","CT"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",94536,"Level III","N","N","IL"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",78874,"Level II","Y","N","MI"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",83366,"Level II","Y","N","IL"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",83470,"Level II","Y","N","MO"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",78624,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",79206,"Level II","Y","N","IL"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",78624,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",85176,"Level II","Y","N","OR"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",83366,"Level II","Y","N","IL"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",83366,"Level II","Y","N","IL"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",83366,"Level II","Y","N","IL"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",71240,"Level II","Y","N","IN"
"CERTIFIED-WITHDRAWN","H-1B","N",1,0,1,0,0,0,0,"Y",137357,"Level III","N","N","NC"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",49770,"Level I","N","N","TX"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",78624,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",79206,"Level II","Y","N","IL"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",85176,"Level II","Y","N","OR"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",65749,"Level II","Y","N","ID"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",110864,"Level II","Y","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",83366,"Level II","Y","N","IL"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",83470,"Level II","Y","N","MO"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",71240,"Level II","Y","N","IN"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",110864,"Level II","Y","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",83470,"Level II","Y","N","MO"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",71240,"Level II","Y","N","IN"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",78624,"Level II","Y","N","MN"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,0,1,"Y",90646,"Level II","Y","N","TX"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,0,1,"Y",85842,"Level III","N","N","WI"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,0,1,"Y",82493,"Level II","Y","N","VA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",74194,"Level II","N","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,0,1,"Y",135658,"Level III","N","N","MA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,0,1,"Y",135491,"Level IV","N","N","VA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",107869,"Level I","N","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,1,0,0,0,0,"Y",68765,"Level II","Y","N","AL"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",78021,"Level II","Y","N","AZ"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,1,0,0,0,0,"Y",101317,"Level IV","N","N","TX"
"CERTIFIED","H-1B","Y",1,0,0,0,0,1,0,"Y",106122,"Level IV","N","N","FL"
"CERTIFIED","H-1B","Y",1,0,1,0,0,0,0,"Y",81266,"Level II","N","N","AZ"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,0,1,"Y",88483,"Level II","N","N","TX"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,1,0,0,0,0,"Y",94266,"Level II","N","N","CA"
"CERTIFIED","H-1B","N",1,0,0,0,0,0,1,"Y",88483,"Level II","Y","N","TX"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,1,0,0,0,0,"Y",107203,"Level III","N","N","CA"
"CERTIFIED","H-1B","Y",1,0,0,1,0,0,0,"Y",79830,"Level I","N","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,1,0,"Y",142168,"Level IV","N","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","N",1,1,0,0,0,0,0,"Y",151800,"Level II","N","N","CA"
"CERTIFIED","H-1B","Y",1,0,0,1,0,0,0,"Y",79830,"Level I","N","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,1,0,0,0,0,0,"Y",59405,"Level III","N","N","PA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,1,0,"Y",125923,"Level IV","N","N","CT"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,1,0,0,0,0,"Y",83366,"Level II","Y","N","IL"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,1,0,0,0,0,"Y",51314,"Level I","N","N","IL"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,1,0,"Y",109886,"Level III","N","N","TX"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,1,0,"Y",132184,"Level III","N","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,1,0,"Y",147597,"Level III","N","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,1,0,"Y",144414,"Level IV","N","N","CA"
"CERTIFIED","H-1B","Y",1,0,1,0,0,0,0,"Y",163238,"Level III","N","N","TX"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,1,0,"Y",112757,"Level IV","N","N","CA"
"WITHDRAWN","H-1B","Y",1,0,1,0,0,0,0,"Y",142917,"Level IV","N","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,1,0,0,0,0,"Y",125112,"Level III","Y","N","CA"
"CERTIFIED-WITHDRAWN","H-1B","N",1,0,0,0,0,0,1,"Y",76294,"Level II","Y","N","MA"
"CERTIFIED","H-1B","Y",1,0,1,0,0,0,0,"Y",94058,"Level III","N","N","MN"
"CERTIFIED","H-1B","Y",1,0,1,0,0,0,0,"Y",113318,"Level II","N","N","WA"
"CERTIFIED-WITHDRAWN","H-1B","Y",1,0,0,0,0,1,0,"Y",162219,"Level III","N","N","WA"
